audio_id,dep,wav,audio_dur_s,ref,ref_normalized,context_mode,raw_transcription,final_transcription,duration_s,latency_client_s,wer_raw,sub_raw,del_raw,ins_raw,n_ref,wer_post,cs_canonical,cs_correct,sid_canonical,sid_correct,llm_applied,llm_latency_s,rtf,cost_per_transcription,http_status,error,model,tier,cost_per_h
del_001,del,del_001.wav,11.35,"Ryanair four seven three, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk two three four one, QNH one zero one three, runway three two left.","RYR473, cleared to Dublin via BELEN1G departure, initial climb 5000 feet, squawk 2341, QNH 1013, runway 32L.",session,Ryanair Four Seven Three cleared to dublin via Belen One Golf departure initially in five thousand feet squawk two three four one QNH one zero one three runway three two left,RYR473 cleared to dublin via BELEN1G departure initially in five thousand feet squawk 2341 QNH 1013 runway 32L,13.249,13.742,0.0938,2,1,0,32,0.2353,RYR473,True,BELEN1G,True,False,0.0,1.17,0.003055,200,,medium,ct2,0.83
del_002,del,del_002.wav,7.77,"Ryanair four seven three, readback correct. Contact Ground on one two one decimal six five five when ready.","RYR473, readback correct. Contact Ground on 121.655 when ready.",session,Ryanair Four Seven Three read back correct contact run on one two one decimal six five five when ready,RYR473 read back correct contact run on 121.655 when ready,8.786,18.326,0.1667,2,0,1,18,0.3,RYR473,True,,,False,8.733795967999981,1.13,0.002026,200,,medium,ct2,0.83
del_003,del,del_003.wav,14.17,"Iberia three one four Bravo, cleared to Barcelona via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk two three four seven, QNH one zero one five, runway three two left.","IBE314B, cleared to Barcelona via LARPA1F departure, initial climb 6000 feet, squawk 2347, QNH 1015, runway 32L.",session,Iveria Three One Four Bravo cleared to Barcelona via LARPA one four stroke departure initial climb six thousand feet squawk two three four seven QNH one zero one five runway three two left,IBE314B cleared to Barcelona via LARPA one four stroke departure initial climb 6000 feet squawk 2347 QNH 1015 runway 32L,12.61,18.627,0.1212,2,1,1,33,0.2353,IBE314B,True,LARPA1F,False,False,5.048588054999982,0.89,0.002907,200,,medium,ct2,0.83
del_004,del,del_004.wav,7.0,"Iberia three one four Bravo, readback correct. Contact Ground when ready on one two one decimal six.","IBE314B, readback correct. Contact Ground when ready on 121.6.",session,IVIDIA Three One Four Bravo rip at correct contact ground when ready on one two one decimal six,IVIDIA 314B rip at correct contact ground when ready on 121.6,9.529,15.052,0.1765,2,0,1,17,0.4,IBE314B,False,,,False,5.131349820999958,1.36,0.002197,200,,medium,ct2,0.83
del_005,del,del_005.wav,13.99,"Lufthansa three seven two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.","DLH372, cleared to Frankfurt via NINIX1W departure, initial climb 5000 feet, squawk 4321, QNH 1012, runway 18L.",session,Lufthansa Three Seven Two cleared to Frankfurt via NINIX one whiskey departure  news hotline five thousand feet at squawk four three two one QNH one zero one two runway one eight left,DLH372 cleared to Frankfurt via NINIX1W departure  news hotline five thousand feet at squawk 4321 QNH 1012 runway 18L,11.473,11.731,0.125,2,1,1,32,0.2941,DLH372,True,NINIX1W,True,False,0.0,0.82,0.002645,200,,medium,ct2,0.83
del_006,del,del_006.wav,12.29,"Speedbird two four six, cleared to London Heathrow via the BELEN one GOLF departure, initial climb six thousand feet, squawk three four one two, QNH one zero one four.","BAW246, cleared to London Heathrow via BELEN1G departure, initial climb 6000 feet, squawk 3412, QNH 1014.",session,Speedbird Two Four Six cleared to london hydro BELEN1 Golf departure NINIX climb six thousand feet squawk three four one two QNH one zero one four,BAW246 cleared to london hydro BELEN1 G departure NINIX climb 6000 feet squawk 3412 QNH 1014,11.209,16.525,0.2069,3,3,0,29,0.25,BAW246,True,BELEN1G,False,False,5.0606839699999,0.91,0.002584,200,,medium,ct2,0.83
del_007,del,del_007.wav,7.68,"Speedbird two four six, readback correct. Contact Ground on one two one decimal six five five when ready.","BAW246, readback correct. Contact Ground on 121.655 when ready.",session,Speedbird Two Four Six report covered contact ground on one two one decimal six five five one ready,BAW246 report covered contact ground on 121.655 one ready,9.607,15.342,0.1667,3,0,0,18,0.3,BAW246,True,,,False,5.082796421000012,1.25,0.002215,200,,medium,ct2,0.83
del_008,del,del_008.wav,12.89,"Swiss two four one, cleared to Zurich via the RODAS one TANGO departure, initial climb five thousand feet, squawk two one three four, QNH one zero one one, runway three two right.","SWR241, cleared to Zurich via RODAS1T departure, initial climb 5000 feet, squawk 2134, QNH 1011, runway 32R.",session,Swiss Two Four One cleared to reach via rodas one tango departure initial climb five thousand feet squawk two one three four QNH one zero one one runway three two right,SWR241 cleared to reach via RODAS1T departure initial climb 5000 feet squawk 2134 QNH 1011 runway 32R,12.539,12.809,0.0625,1,1,0,32,0.0588,SWR241,True,RODAS1T,True,False,0.0,0.97,0.002891,200,,medium,ct2,0.83
del_009,del,del_009.wav,13.06,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb five thousand feet, squawk one two three four, QNH one zero one three.","EZY85W0, cleared to London Gatwick via FORNO1F departure, initial climb 5000 feet, squawk 1234, QNH 1013.",session,EZJet Eight Five Whiskey Zero cleared to land on cut width via FORNO one foxtrot departure initial climb five thousand feet squawk one two three four QNH one zero one three,EZJet 85W0 cleared to land on cut width via FORNO1F departure initial climb 5000 feet squawk 1234 QNH 1013,12.156,17.776,0.2,5,0,1,30,0.375,EZY85W0,False,FORNO1F,True,False,5.397381508999956,0.93,0.002803,200,,medium,ct2,0.83
del_010,del,del_010.wav,12.03,"Vueling one two three, cleared to Paris Charles de Gaulle via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk four three two one, QNH one zero one five, runway three two left.","VLG123, cleared to Paris Charles de Gaulle via NINIX1W departure, initial climb 6000 feet, squawk 4321, QNH 1015, runway 32L.",session,Bueling One Two Three cleared to Paris Charles de Gaulle via NINIX one whiskey departure initial climb six thousand feet squawk four three two one QNH one zero one five runway three two left,Bueling 123 cleared to Paris Charles de Gaulle via NINIX1W departure initial climb 6000 feet squawk 4321 QNH 1015 runway 32L,11.5,16.751,0.0571,1,1,0,35,0.1,VLG123,False,NINIX1W,True,False,5.037685604999979,0.96,0.002651,200,,medium,ct2,0.83
