audio_id,dep,wav,audio_dur_s,ref,context_mode,raw_transcription,final_transcription,duration_s,latency_client_s,wer_raw,sub_raw,del_raw,ins_raw,n_ref,wer_post,rtf,cost_per_transcription,http_status,error,model,tier,cost_per_h
del_001,del,del_001.wav,,"Ryanair four seven three, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk two three four one, QNH one zero one three, runway three two left.",generic,,,28.848,,4.677,26,0,124,32,4.677,,0.001683,200,,tiny,c2,0.21
del_002,del,del_002.wav,,"Ryanair four seven three, readback correct. Contact Ground on one two one decimal six five five when ready.",generic,,,20.937,,4.677,15,0,70,18,4.677,,0.001221,200,,tiny,c2,0.21
del_003,del,del_003.wav,,"Iberia three one four Bravo, cleared to Barcelona via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk two three four seven, QNH one zero one five, runway three two left.",generic,,,32.181,,4.677,27,0,128,33,4.677,,0.001877,200,,tiny,c2,0.21
del_004,del,del_004.wav,,"Iberia three one four Bravo, readback correct. Contact Ground when ready on one two one decimal six.",generic,,,21.799,,4.677,14,0,66,17,4.677,,0.001272,200,,tiny,c2,0.21
del_005,del,del_005.wav,,"Lufthansa three seven two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.",generic,,,31.42,,4.677,26,0,124,32,4.677,,0.001833,200,,tiny,c2,0.21
del_006,del,del_006.wav,,"Speedbird two four six, cleared to London Heathrow via the BELEN one GOLF departure, initial climb six thousand feet, squawk three four one two, QNH one zero one four.",generic,,,26.502,,4.677,23,0,112,29,4.677,,0.001546,200,,tiny,c2,0.21
del_007,del,del_007.wav,,"Speedbird two four six, readback correct. Contact Ground on one two one decimal six five five when ready.",generic,,,20.937,,4.677,14,0,70,18,4.677,,0.001221,200,,tiny,c2,0.21
del_008,del,del_008.wav,,"Swiss two four one, cleared to Zurich via the RODAS one TANGO departure, initial climb five thousand feet, squawk two one three four, QNH one zero one one, runway three two right.",generic,,,29.587,,4.677,26,0,124,32,4.677,,0.001726,200,,tiny,c2,0.21
del_009,del,del_009.wav,,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb five thousand feet, squawk one two three four, QNH one zero one three.",generic,,,31.183,,4.677,24,0,116,30,4.677,,0.001819,200,,tiny,c2,0.21
del_010,del,del_010.wav,,"Vueling one two three, cleared to Paris Charles de Gaulle via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk four three two one, QNH one zero one five, runway three two left.",generic,,,30.093,,4.677,28,0,135,35,4.677,,0.001755,200,,tiny,c2,0.21
