dep,entry_id,session_id,atc_text,expected_readback,agent_reply,structured_data,status,agent_latency_s,judge_latency_s,values_correct,completeness,no_hallucination,phraseology_score,overall,justification,error
DEL,del_001,judge-del-del_001-f9f80a,"Ryanair four seven three, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk two three four one, QNH one zero one three, runway three two left.","Cleared to Dublin via BELEN one GOLF, initial climb five thousand, squawk two three four one, QNH one zero one three, runway three two left, Ryanair four seven three.","Cleared to Dublin via BELEN1G departure, maintain 5000 feet, squawk 2341, QNH 1013, runway 32L, Ryanair 473.","{""aircraft_registration"": ""Ryanair 473"", ""squawk"": 2341, ""initial_altitude"": 5000, ""instrumental_departure"": ""BELEN1G"", ""runway_in_use"": ""32L"", ""altimeter"": 1013.0, ""destination_icao"": ""EIDW"", ""clearance_text"": ""Cleared to Dublin via BELEN1G departure, maintain 5000 feet, squawk 2341, QNH 1013, runway 32L, Ryanair 473.""}",200,13.423,16.14,PASS,PASS,PASS,3,PASS,"La colación no utiliza la fraseología estándar para los números, que deben leerse dígito por dígito.",
DEL,del_002,judge-del-del_002-8c9042,"Ryanair four seven three, readback correct. Contact Ground on one two one decimal six five five when ready.","One two one decimal six five five, Ryanair four seven three. Good day.","Contacting Ground on one two one decimal six five five, Ryanair four seven three.",null,200,1.01,9.958,PASS,PASS,PASS,4,PASS,"La colación es correcta, aunque la fraseología 'Contacting Ground on...' es aceptable pero no es el formato más estándar y conciso.",
DEL,del_003,judge-del-del_003-89e35b,"Iberia three one four Bravo, cleared to Barcelona via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk two three four seven, QNH one zero one five, runway three two left.","Cleared to Barcelona via LARPA one FOXTROT, initial climb six thousand, squawk two three four seven, QNH one zero one five, runway three two left, Iberia three one four Bravo.","Cleared to Barcelona via LARPA 1F departure, maintain 6000 feet, squawk 2347, QNH 1015, runway 32L, Iberia 314B.","{""aircraft_registration"": ""IB314B"", ""squawk"": 2347, ""initial_altitude"": 6000, ""instrumental_departure"": ""LARPA 1F"", ""runway_in_use"": ""32L"", ""altimeter"": 1015.0, ""destination_icao"": ""LEBL"", ""clearance_text"": ""Cleared to Barcelona via LARPA 1F departure, maintain 6000 feet, squawk 2347, QNH 1015, runway 32L, Iberia 314B.""}",200,1.583,12.618,PASS,PASS,PASS,3,PASS,La colación no utiliza la pronunciación fonética estándar de la OACI para los números.,
DEL,del_004,judge-del-del_004-0df7a7,"Iberia three one four Bravo, readback correct. Contact Ground when ready on one two one decimal six.","Contact Ground on one two one decimal six, Iberia three one four Bravo.","Contacting Ground on one two one decimal six, Iberia three one four Bravo.",null,200,1.33,6.714,PASS,PASS,PASS,5,PASS,"La colación es correcta, repitiendo la frecuencia con fraseología estándar.",
DEL,del_005,judge-del-del_005-aaf8c0,"Lufthansa three seven two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.","Cleared to Frankfurt via NINIX one WHISKEY, initial climb five thousand, squawk four three two one, QNH one zero one two, runway one eight left, Lufthansa three seven two.","Cleared to Frankfurt via NINIX 1 WHISKEY departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 18L, Lufthansa 372.","{""aircraft_registration"": ""Lufthansa 372"", ""squawk"": 4321, ""initial_altitude"": 5000, ""instrumental_departure"": ""NINIX 1 WHISKEY"", ""runway_in_use"": ""18L"", ""altimeter"": 1012.0, ""destination_icao"": ""EDDF"", ""clearance_text"": ""Cleared to Frankfurt via NINIX 1 WHISKEY departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 18L, Lufthansa 372.""}",200,1.383,14.954,PASS,PASS,PASS,2,FAIL,"La colación no pronuncia los números dígito por dígito como requiere la fraseología OACI (p. ej., el squawk y el QNH).",
DEL,del_006,judge-del-del_006-9c395c,"Speedbird two four six, cleared to London Heathrow via the BELEN one GOLF departure, initial climb six thousand feet, squawk three four one two, QNH one zero one four.","Cleared to London Heathrow via BELEN one GOLF, initial climb six thousand, squawk three four one two, QNH one zero one four, Speedbird two four six.","Cleared to London Heathrow via BELEN one GOLF departure, maintain 6000 feet, squawk 3412, QNH 1014, Speedbird two four six.","{""aircraft_registration"": ""Speedbird two four six"", ""squawk"": 3412, ""initial_altitude"": 6000, ""instrumental_departure"": ""BELEN 1G"", ""runway_in_use"": """", ""altimeter"": 1014.0, ""destination_icao"": ""EGLL"", ""clearance_text"": ""Cleared to London Heathrow via BELEN one GOLF departure, maintain 6000 feet, squawk 3412, QNH 1014, Speedbird two four six.""}",200,1.141,12.239,PASS,PASS,PASS,4,PASS,"La colación es correcta, aunque el uso de 'maintain' en lugar de 'climb' o simplemente la altitud es una pequeña desviación de la fraseología estándar.",
DEL,del_007,judge-del-del_007-12de2a,"Speedbird two four six, readback correct. Contact Ground on one two one decimal six five five when ready.","One two one decimal six five five, Speedbird two four six.","Contacting Ground on 121.655, Speedbird 246.",null,200,1.313,11.988,PASS,PASS,PASS,2,FAIL,La frecuencia no se colacionó dígito por dígito y el distintivo de llamada se leyó incorrectamente.,
DEL,del_008,judge-del-del_008-f20c00,"Swiss two four one, cleared to Zurich via the RODAS one TANGO departure, initial climb five thousand feet, squawk two one three four, QNH one zero one one, runway three two right.","Cleared to Zurich via RODAS one TANGO, initial climb five thousand, squawk two one three four, QNH one zero one one, runway three two right, Swiss two four one.","Cleared to Zurich via RODAS one TANGO departure, maintain 5000 feet, squawk 2134, QNH 1011, runway 32R, Swiss two four one.","{""aircraft_registration"": ""HB-JXA"", ""squawk"": 2134, ""initial_altitude"": 5000, ""instrumental_departure"": ""RODAS 1T"", ""runway_in_use"": ""32R"", ""altimeter"": 1011.0, ""destination_icao"": ""LSZH"", ""clearance_text"": ""Cleared to Zurich via RODAS one TANGO departure, maintain 5000 feet, squawk 2134, QNH 1011, runway 32R, Swiss two four one.""}",200,1.415,13.487,PASS,PASS,PASS,3,PASS,"La colación no pronuncia los dígitos individualmente para el transpondedor, el QNH y la pista.",
DEL,del_009,judge-del-del_009-7b0e1a,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb five thousand feet, squawk one two three four, QNH one zero one three.","Cleared to London Gatwick via FORNO one FOXTROT, initial climb five thousand, squawk one two three four, QNH one zero one three, EasyJet eight five Whiskey zero.","Cleared to London Gatwick via FORNO1F departure, maintain 5000 feet, squawk 1234, QNH 1013, EasyJet 85W0.","{""aircraft_registration"": ""EasyJet 85W0"", ""squawk"": 1234, ""initial_altitude"": 5000, ""instrumental_departure"": ""FORNO1F"", ""runway_in_use"": """", ""altimeter"": 1013.0, ""destination_icao"": ""EGKK"", ""clearance_text"": ""Cleared to London Gatwick via FORNO1F departure, maintain 5000 feet, squawk 1234, QNH 1013, EasyJet 85W0.""}",200,1.716,10.856,PASS,PASS,PASS,3,PASS,"La colación es correcta en sus valores, pero los dígitos del transpondedor y del QNH no se leen individualmente como requiere la fraseología OACI.",
DEL,del_010,judge-del-del_010-574045,"Vueling one two three, cleared to Paris Charles de Gaulle via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk four three two one, QNH one zero one five, runway three two left.","Cleared to Paris Charles de Gaulle via NINIX one WHISKEY, initial climb six thousand, squawk four three two one, QNH one zero one five, runway three two left, Vueling one two three.","Cleared to Paris Charles de Gaulle via the NINIX 1W departure, maintain 6000 feet, squawk 4321, QNH 1015, Vueling 123.","{""aircraft_registration"": ""EC-V123"", ""squawk"": 4321, ""initial_altitude"": 6000, ""instrumental_departure"": ""NINIX 1W"", ""runway_in_use"": ""32L"", ""altimeter"": 1015.0, ""destination_icao"": ""LFPG"", ""clearance_text"": ""Cleared to Paris Charles de Gaulle via the NINIX 1W departure, maintain 6000 feet, squawk 4321, QNH 1015, Vueling 123.""}",200,1.446,9.805,PASS,FAIL,PASS,3,FAIL,La colación omite la pista asignada para el despegue y no pronuncia los dígitos individualmente.,
