audio_id,dep,wav,audio_dur_s,ref,ref_normalized,context_mode,raw_transcription,final_transcription,duration_s,latency_client_s,wer_raw,sub_raw,del_raw,ins_raw,n_ref,wer_post,cs_canonical,cs_correct,sid_canonical,sid_correct,llm_applied,llm_latency_s,rtf,cost_per_transcription,http_status,error,model,tier,cost_per_h
del_001,del,del_001.wav,11.35,"Ryanair four seven three, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk two three four one, QNH one zero one three, runway three two left.","RYR473, cleared to Dublin via BELEN1G departure, initial climb 5000 feet, squawk 2341, QNH 1013, runway 32L.",none,Ryanair Four Seven Three cleared to Dublin via Vilenguang Golf Departure  initially in five thousand feet squawk two three four one QNH one zero one three runway three two left,RYR473 cleared to Dublin via Vilenguang G Departure  initially in five thousand feet squawk 2341 QNH 1013 runway 32L,11.662,40.4,0.1562,3,2,0,32,0.3529,RYR473,True,BELEN1G,False,False,0.0,1.03,0.002689,200,,medium,ct2,0.83
del_002,del,del_002.wav,7.77,"Ryanair four seven three, readback correct. Contact Ground on one two one decimal six five five when ready.","RYR473, readback correct. Contact Ground on 121.655 when ready.",none,Ryanair Four Seven Three read back correct contact run on one two one decimal six five five when ready,RYR473 read back correct contact run on 121.655 when ready,7.329,7.597,0.1667,2,0,1,18,0.3,RYR473,True,,,False,0.0,0.94,0.00169,200,,medium,ct2,0.83
del_003,del,del_003.wav,14.17,"Iberia three one four Bravo, cleared to Barcelona via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk two three four seven, QNH one zero one five, runway three two left.","IBE314B, cleared to Barcelona via LARPA1F departure, initial climb 6000 feet, squawk 2347, QNH 1015, runway 32L.",none,Iberia Three One Four Bravo cleared to Barcelona via L'Arpa one four stroke departure initial climb six thousand feet squawk two three four seven QNH one zero one five runway three two left,IBE314B cleared to Barcelona via L'Arpa one four stroke departure initial climb 6000 feet squawk 2347 QNH 1015 runway 32L,9.465,9.883,0.1212,3,0,1,33,0.2941,IBE314B,True,LARPA1F,False,False,0.0,0.67,0.002182,200,,medium,ct2,0.83
del_004,del,del_004.wav,7.0,"Iberia three one four Bravo, readback correct. Contact Ground when ready on one two one decimal six.","IBE314B, readback correct. Contact Ground when ready on 121.6.",none,IVIDIA three one four bravo rip at correct contact ground when ready on one two one decimal six,IVIDIA 314B rip at correct contact ground when ready on 121.6,7.753,7.978,0.1765,2,0,1,17,0.4,IBE314B,False,,,False,0.0,1.11,0.001788,200,,medium,ct2,0.83
del_005,del,del_005.wav,13.99,"Lufthansa three seven two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.","DLH372, cleared to Frankfurt via NINIX1W departure, initial climb 5000 feet, squawk 4321, QNH 1012, runway 18L.",none,Lufthansa three seven two cleared to Frankfurt via Nix One Whiskey departure  knees up line five thousand feet asquawk four three two one QNH one zero one two runway one eight left,DLH372 cleared to Frankfurt via NIX1W departure  knees up line five thousand feet asquawk four three two one QNH 1012 runway 18L,9.197,9.58,0.1875,4,1,1,32,0.6471,DLH372,True,NINIX1W,False,False,0.0,0.66,0.00212,200,,medium,ct2,0.83
del_006,del,del_006.wav,12.29,"Speedbird two four six, cleared to London Heathrow via the BELEN one GOLF departure, initial climb six thousand feet, squawk three four one two, QNH one zero one four.","BAW246, cleared to London Heathrow via BELEN1G departure, initial climb 6000 feet, squawk 3412, QNH 1014.",none,Speedbird Two Four Six cleared to london hydro we have a land one golf departure initial climb six thousand feet squawk three four one two QNH one zero one four,BAW246 cleared to london hydro we have a land one G departure initial climb 6000 feet squawk 3412 QNH 1014,8.52,8.882,0.1724,4,0,1,29,0.4375,BAW246,True,BELEN1G,False,False,0.0,0.69,0.001964,200,,medium,ct2,0.83
del_007,del,del_007.wav,7.68,"Speedbird two four six, readback correct. Contact Ground on one two one decimal six five five when ready.","BAW246, readback correct. Contact Ground on 121.655 when ready.",none,Speedbird Two Four Six report covered contact ground on one two one decimal six five five one ready,BAW246 report covered contact ground on 121.655 one ready,6.999,7.283,0.1667,3,0,0,18,0.3,BAW246,True,,,False,0.0,0.91,0.001614,200,,medium,ct2,0.83
del_008,del,del_008.wav,12.89,"Swiss two four one, cleared to Zurich via the RODAS one TANGO departure, initial climb five thousand feet, squawk two one three four, QNH one zero one one, runway three two right.","SWR241, cleared to Zurich via RODAS1T departure, initial climb 5000 feet, squawk 2134, QNH 1011, runway 32R.",none,Swiss Two Four One cleared to zurich via rodas contango departure initial climb five thousand feet squawk two one three four QNH one zero one one runway three two right,SWR241 cleared to zurich via rodas contango departure initial climb 5000 feet squawk 2134 QNH 1011 runway 32R,9.259,9.554,0.0938,1,2,0,32,0.1176,SWR241,True,RODAS1T,False,False,0.0,0.72,0.002135,200,,medium,ct2,0.83
del_009,del,del_009.wav,13.06,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb five thousand feet, squawk one two three four, QNH one zero one three.","EZY85W0, cleared to London Gatwick via FORNO1F departure, initial climb 5000 feet, squawk 1234, QNH 1013.",none,Easy Jet Eight Five Whiskey Zero cleared to land on cut width via four no one foxtrot departure initial climb five thousand feet squawk one two three four QNH one zero one three,EZY85W0 cleared to land on cut width via four no one F departure initial climb 5000 feet squawk 1234 QNH 1013,10.317,10.668,0.2667,5,0,3,30,0.5,EZY85W0,True,FORNO1F,False,False,0.0,0.79,0.002379,200,,medium,ct2,0.83
del_010,del,del_010.wav,12.03,"Vueling one two three, cleared to Paris Charles de Gaulle via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk four three two one, QNH one zero one five, runway three two left.","VLG123, cleared to Paris Charles de Gaulle via NINIX1W departure, initial climb 6000 feet, squawk 4321, QNH 1015, runway 32L.",none,Bueling one two three cleared to Paris Charles de Gaulle via Ninex One Whiskey departure  initial climb six thousand feet and squawk four three two one QNH one zero one five runway three two left,Bueling 123 cleared to Paris Charles de Gaulle via NINEX1W departure  initial climb 6000 feet and squawk 4321 QNH 1015 runway 32L,11.301,11.82,0.1143,2,1,1,35,0.2,VLG123,False,NINIX1W,False,False,0.0,0.94,0.002605,200,,medium,ct2,0.83
