dep,entry_id,atc_text,expected_readback,agent_reply,judge_values_correct,judge_completeness,judge_no_hallucination,judge_phraseology_score,judge_overall,judge_justification,human_verdict,human_notes
DEL,del_005,"Lufthansa three seven two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.","Cleared to Frankfurt via NINIX one WHISKEY, initial climb five thousand, squawk four three two one, QNH one zero one two, runway one eight left, Lufthansa three seven two.","Cleared to Frankfurt via NINIX 1 WHISKEY departure, maintain 5000 feet, squawk 4321, QNH 1012, runway 18L, Lufthansa 372.",PASS,PASS,PASS,2,FAIL,"La colación no pronuncia los números dígito por dígito como requiere la fraseología OACI (p. ej., el squawk y el QNH).",,
DEL,del_007,"Speedbird two four six, readback correct. Contact Ground on one two one decimal six five five when ready.","One two one decimal six five five, Speedbird two four six.","Contacting Ground on 121.655, Speedbird 246.",PASS,PASS,PASS,2,FAIL,La frecuencia no se colacionó dígito por dígito y el distintivo de llamada se leyó incorrectamente.,,
DEL,del_010,"Vueling one two three, cleared to Paris Charles de Gaulle via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk four three two one, QNH one zero one five, runway three two left.","Cleared to Paris Charles de Gaulle via NINIX one WHISKEY, initial climb six thousand, squawk four three two one, QNH one zero one five, runway three two left, Vueling one two three.","Cleared to Paris Charles de Gaulle via the NINIX 1W departure, maintain 6000 feet, squawk 4321, QNH 1015, Vueling 123.",PASS,FAIL,PASS,3,FAIL,La colación omite la pista asignada para el despegue y no pronuncia los dígitos individualmente.,,
DEL,del_011,"Ryanair six six Golf, cleared to Palma de Mallorca via the DVOR one FOXTROT departure, initial climb five thousand feet, squawk three three two one, QNH one zero one three, runway three two right.","Cleared to Palma de Mallorca via DVOR one FOXTROT, initial climb five thousand, squawk three three two one, QNH one zero one three, runway three two right, Ryanair six six Golf.","Cleared to Palma de Mallorca via the DVOR one FOXTROT departure, maintain 5000 feet, squawk 3321, QNH 1013, Ryanair 66 Golf.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada, que es un elemento obligatorio de la autorización.",,
DEL,del_016,"Norwegian three four two, negative, initial climb six thousand feet.","Initial climb six thousand feet, Norwegian three four two.","Correction, maintain 6000 feet, Norwegian 342.",PASS,PASS,FAIL,2,FAIL,"El piloto usó la palabra 'Correction', que es fraseología de controlador, y cambió la instrucción de 'initial climb' a 'maintain'.",,
DEL,del_020,"Santiago Delivery, Volotea four five one, stand three three, information Charlie, request clearance to Bilbao.","Volotea four five one, cleared to Bilbao via DVOR one FOXTROT departure, initial climb five thousand feet, squawk three two one four, QNH one zero one five, runway three two right.","Santiago Delivery, Volotea four five one, request IFR clearance to Bilbao, Volotea four five one.",N/A,N/A,FAIL,1,FAIL,La respuesta del agente ignora la transmisión del controlador y en su lugar inicia una nueva solicitud de autorización con fraseología incorrecta.,,
DEL,del_021,"Finnair three zero two, cleared to Helsinki via the RODAS one TANGO departure, initial climb six thousand feet, squawk one two three four, QNH one zero one one, runway one eight left.","Cleared to Helsinki via RODAS one TANGO, initial climb six thousand, squawk one two three four, QNH one zero one one, runway one eight left, Finnair three zero two.","Cleared to Helsinki via the RODAS one TANGO departure, maintain 6000 feet, squawk 1234, QNH 1011, Finnair three zero two.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista asignada, que es un elemento obligatorio de la autorización.",,
DEL,del_027,"Wizz Air two three four, cleared to Budapest via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk four three two one, QNH one zero one seven, runway three two left.","Cleared to Budapest via LARPA one FOXTROT, initial climb six thousand, squawk four three two one, QNH one zero one seven, runway three two left, Wizz Air two three four.","Cleared to Budapest via LARPA1F departure, maintain 6000 feet, squawk 4321, QNH 1017, Wizz Air 234.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista en uso, que es un elemento obligatorio de la autorización de salida.",,
DEL,del_029,"Santiago Delivery, Jet2 seven eight nine, stand two two, information Foxtrot, request clearance to Manchester.","Jet2 seven eight nine, cleared to Manchester via FORNO one FOXTROT departure, initial climb five thousand feet, squawk one three two four, QNH one zero one one, runway three two right.","Santiago Delivery, Jet2 seven eight nine, request IFR clearance to Manchester, information Foxtrot, Jet2 seven eight nine.",N/A,FAIL,PASS,3,FAIL,La solicitud del agente omite el puesto de estacionamiento y repite incorrectamente el indicativo al final de la transmisión.,,
DEL,del_031,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb six thousand feet, squawk one two three four, QNH one zero one three, runway three two right.","Cleared to London Gatwick via FORNO one FOXTROT, initial climb six thousand, squawk one two three four, QNH one zero one three, runway three two right, EasyJet eight five Whiskey zero.","Cleared to London Gatwick via FORNO one FOXTROT departure, maintain 6000 feet, squawk 1234, QNH 1013, EasyJet eight five Whiskey zero.",PASS,FAIL,PASS,3,FAIL,"La colación omite la pista en uso, que es un elemento obligatorio de la autorización.",,
