audio_id,dep,wav,audio_dur_s,ref,context_mode,raw_transcription,final_transcription,duration_s,latency_client_s,wer_raw,sub_raw,del_raw,ins_raw,n_ref,wer_post,rtf,cost_per_transcription,http_status,error,model,tier,cost_per_h
del_001,del,del_001.wav,11.35,"Ryanair four seven three, cleared to Dublin via the BELEN one GOLF departure, initial climb five thousand feet, squawk two three four one, QNH one zero one three, runway three two left.",generic,,,86.544,,0.1562,4,1,1,32,0.1562,7.63,0.005048,200,,medium,c2,0.21
del_002,del,del_002.wav,7.77,"Ryanair four seven three, readback correct. Contact Ground on one two one decimal six five five when ready.",generic,,,62.811,,0.1667,2,1,0,18,0.1667,8.08,0.003664,200,,medium,c2,0.21
del_003,del,del_003.wav,14.17,"Iberia three one four Bravo, cleared to Barcelona via the LARPA one FOXTROT departure, initial climb six thousand feet, squawk two three four seven, QNH one zero one five, runway three two left.",generic,,,96.544,,0.0909,2,1,0,33,0.0909,6.81,0.005632,200,,medium,c2,0.21
del_004,del,del_004.wav,7.0,"Iberia three one four Bravo, readback correct. Contact Ground when ready on one two one decimal six.",generic,,,65.397,,0.0588,1,0,0,17,0.0588,9.34,0.003815,200,,medium,c2,0.21
del_005,del,del_005.wav,13.99,"Lufthansa three seven two, cleared to Frankfurt via the NINIX one WHISKEY departure, initial climb five thousand feet, squawk four three two one, QNH one zero one two, runway one eight left.",generic,,,94.26,,0.1562,4,1,1,32,0.1562,6.74,0.005498,200,,medium,c2,0.21
del_006,del,del_006.wav,12.29,"Speedbird two four six, cleared to London Heathrow via the BELEN one GOLF departure, initial climb six thousand feet, squawk three four one two, QNH one zero one four.",generic,,,79.506,,0.1379,3,1,0,29,0.1379,6.47,0.004638,200,,medium,c2,0.21
del_007,del,del_007.wav,7.68,"Speedbird two four six, readback correct. Contact Ground on one two one decimal six five five when ready.",generic,,,62.812,,0.1667,2,1,0,18,0.1667,8.18,0.003664,200,,medium,c2,0.21
del_008,del,del_008.wav,12.89,"Swiss two four one, cleared to Zurich via the RODAS one TANGO departure, initial climb five thousand feet, squawk two one three four, QNH one zero one one, runway three two right.",generic,,,88.76,,0.1562,4,1,1,32,0.1562,6.89,0.005178,200,,medium,c2,0.21
del_009,del,del_009.wav,13.06,"EasyJet eight five Whiskey zero, cleared to London Gatwick via the FORNO one FOXTROT departure, initial climb five thousand feet, squawk one two three four, QNH one zero one three.",generic,,,93.55,,0.2,4,1,1,30,0.2,7.16,0.005457,200,,medium,c2,0.21
del_010,del,del_010.wav,12.03,"Vueling one two three, cleared to Paris Charles de Gaulle via the NINIX one WHISKEY departure, initial climb six thousand feet, squawk four three two one, QNH one zero one five, runway three two left.",generic,,,90.28,,0.0571,1,0,0,35,0.0571,7.5,0.005266,200,,medium,c2,0.21
del_011,del,del_011.wav,15.02,"Ryanair six six Golf, cleared to Palma de Mallorca via the DVOR one FOXTROT departure, initial climb five thousand feet, squawk three three two one, QNH one zero one three, runway three two right.",generic,,,95.272,,0.1176,3,1,0,34,0.1176,6.34,0.005558,200,,medium,c2,0.21
del_012,del,del_012.wav,7.0,"Lufthansa three seven two, readback correct. Contact Ground when ready on one two one decimal six. Good day.",generic,,,70.832,,0.1111,1,0,0,18,0.1111,10.12,0.004132,200,,medium,c2,0.21
